"","city","year","country","variable","value"
"311","Leipzig",2010,"Germany","temperature",8.37416438356164
"312","Dresden",2010,"Germany","temperature",7.64715068493151
"313","Dortmund",2010,"Germany","temperature",8.81821917808219
"314","Bremen",2010,"Germany","temperature",8.40646575342466
"315","Mannheim",2010,"Germany","temperature",9.57378082191781
"316","Berlin",2011,"Germany","temperature",10.1939452054795
"317","München",2011,"Germany","temperature",9.85758904109589
"318","Frankfurt",2011,"Germany","temperature",10.9846849315068
"319","Stuttgart",2011,"Germany","temperature",10.3345205479452
"320","Leipzig",2011,"Germany","temperature",10.3630410958904
"321","Dresden",2011,"Germany","temperature",9.5001095890411
"322","Dortmund",2011,"Germany","temperature",10.6744109589041
"323","Bremen",2011,"Germany","temperature",10.2591232876712
"324","Mannheim",2011,"Germany","temperature",11.3326575342466
"325","Berlin",2012,"Germany","temperature",9.56784153005465
"326","München",2012,"Germany","temperature",9.4224043715847
"327","Frankfurt",2012,"Germany","temperature",10.3068852459016
"328","Stuttgart",2012,"Germany","temperature",9.90079234972678
"329","Leipzig",2012,"Germany","temperature",9.88551912568306
"330","Dresden",2012,"Germany","temperature",9.02540983606557
"331","Dortmund",2012,"Germany","temperature",9.9727868852459
"332","Bremen",2012,"Germany","temperature",9.74565573770492
"333","Mannheim",2012,"Germany","temperature",10.8433333333333
"334","Berlin",2013,"Germany","temperature",9.38361643835616
"335","München",2013,"Germany","temperature",8.97679452054795
"336","Frankfurt",2013,"Germany","temperature",9.78082191780822
"337","Stuttgart",2013,"Germany","temperature",9.26605479452055
"338","Leipzig",2013,"Germany","temperature",9.33293150684931
"339","Dresden",2013,"Germany","temperature",8.50613698630137
"340","Dortmund",2013,"Germany","temperature",9.58539726027397
"341","Bremen",2013,"Germany","temperature",9.37323287671233
"342","Mannheim",2013,"Germany","temperature",10.0466301369863
"343","Berlin",2014,"Germany","temperature",10.8840547945205
"344","München",2014,"Germany","temperature",10.2731506849315
"345","Frankfurt",2014,"Germany","temperature",11.4294520547945
"346","Stuttgart",2014,"Germany","temperature",10.9350136986301
"347","Leipzig",2014,"Germany","temperature",11.017698630137
"348","Dresden",2014,"Germany","temperature",10.2752054794521
"349","Dortmund",2014,"Germany","temperature",11.2822739726027
"350","Bremen",2014,"Germany","temperature",11.1401643835616
"351","Mannheim",2014,"Germany","temperature",11.781698630137
